Cam ID,Location,Latitude ,Longitude,camera_type,brand,install_date,last_maintenance_date,avg_daily_operation_hours,connectivity_status,ambient_temp_c,humidity_percent,prev_failures,days_since_last_failure,coverage_percent,health_status,uptime_percent,bandwidth_mbps,night_vision,technical_notes,lat_dd,lon_dd,governorate_en,Kuwait_Governorate,estimated_daily_vehicles
HQ 1,Surv-Gate 2 HQ," 29°15'34.48""N"," 48° 1'58.91""E",Dome,Hanwha,2018-03-08 00:00:00,2022-10-28 00:00:00,23,Offline,30.4,51,0,561,81,Good,93.69,11.12,TRUE,,29.25957778,48.03303056,Mubarak Al-Kabeer,Mubarak Al-Kabeer,67686
HQ 2,Surv-Gate 1 HQ," 29°15'34.87""N"," 48° 1'58.92""E",Bullet,Honeywell,2021-01-01 00:00:00,2025-07-05 00:00:00,21,Online,39.1,75,0,564,97,Good,98.55,4.42,TRUE,Replace network cable,29.25968611,48.03303333,Mubarak Al-Kabeer,Mubarak Al-Kabeer,68009
1, الاول /عيسى الخارج من المدينه - الشيراتون," 29°22'20.77""N","47°59'45.03""E",Dome,Bosch,2018-12-24 00:00:00,2023-12-09 00:00:00,22,Online,35.5,51,1,532,66,Good,98.93,2.21,FALSE,Replace network cable,29.37243611,47.99584167,Al Asimah,Al Asimah,52812
2, الاول / عيسى مخرج دسمان قادم من عيسى," 29°22'31.21""N"," 47°59'49.23""E",PTZ,Hanwha,2022-07-27 00:00:00,2024-02-16 00:00:00,22,Online,27.6,57,0,328,72,Good,98.58,1.71,TRUE,Focus adjustment needed,29.37533611,47.99700833,Al Asimah,Al Asimah,60894
3, الاول / عيسى مدخل المدينه باتجاه الخليجيه," 29°22'29.65""N"," 47°59'43.97""E",Fisheye,Honeywell,2020-12-27 00:00:00,2022-07-14 00:00:00,18,Online,25.9,46,0,540,91,Good,98.52,9.33,TRUE,Focus adjustment needed,29.37490278,47.99554722,Al Asimah,Al Asimah,99624
5,الاول / القاهره مدخل المدينه  بإتجاه - السور," 29°21'56.49""N","47°59'29.99""E",Dome,Bosch,2018-06-06 00:00:00,2022-08-01 00:00:00,23,Online,31.5,81,2,719,71,Warning,99.21,5.29,TRUE,Mount stabilization required,29.36569167,47.99166389,Al Asimah,Al Asimah,75464
7,الاول / القاهره الخارج من المدينه - الشيراتون," 29°21'48.53""N","47°59'23.77""E",Thermal,Axis,2024-06-01 00:00:00,2025-05-26 00:00:00,23,Online,28.3,48,1,683,75,Good,98.02,2.84,TRUE,Heat exposure — add shade,29.36348056,47.98993611,Al Asimah,Al Asimah,72532
9,الاول / المغرب القادم دسمان - شارع السور," 29°21'42.95""N","47°59'13.81""E",Thermal,Hanwha,2021-09-22 00:00:00,2021-12-25 00:00:00,21,Online,46.6,57,1,310,81,Good,99.35,3.88,TRUE,Check IR LEDs,29.36193056,47.98716944,Al Asimah,Al Asimah,69952
10,الاول / المغرب الخارج من المدينه - الشيراتون," 29°21'37.50""N"," 47°59'5.44""E",Analog,Uniview,2021-10-27 00:00:00,2020-07-16 00:00:00,21,Offline,33.2,75,2,418,72,Warning,95.47,1.01,FALSE,Focus adjustment needed,29.36041667,47.98484444,Al Asimah,Al Asimah,54871
11,الاول / الرياض القادم من الرياض - المدينه," 29°21'36.14""N","47°58'29.33""E",Dome,Dahua,2018-01-08 00:00:00,2024-03-18 00:00:00,22,Online,35.6,40,0,198,61,Good,98.37,5.5,TRUE,Heat exposure — add shade,29.36003889,47.97481389,Al Asimah,Al Asimah,57676
