Cam ID,Location,Longitude,Latitude,camera_type,brand,resolution_mp,install_date,last_maintenance_date,avg_daily_operation_hours,connectivity_status,ambient_temp_c,humidity_percent,prev_failures,days_since_last_failure,coverage_percent,health_status,uptime_percent,motion_events_per_day,bandwidth_mbps,night_vision,ptz,location_category,technical_notes
HQ 1,Surv-Gate 2 HQ," 29°15'34.48""N"," 48° 1'58.91""E",Dome,Hanwha,12,3/8/2018,10/28/2022,23,Offline,30.4,51,0,561,81,Good,93.69,106,11.12,TRUE,FALSE,Warehouse,
HQ 2,Surv-Gate 1 HQ," 29°15'34.87""N"," 48° 1'58.92""E",Bullet,Honeywell,4,1/1/2021,7/5/2025,21,Online,39.1,75,0,564,97,Good,98.55,114,4.42,TRUE,TRUE,Parking,Replace network cable
1, الاول /عيسى الخارج من المدينه - الشيراتون," 29°22'20.77""N","47°59'45.03""E",Dome,Bosch,2,12/24/2018,12/9/2023,22,Online,35.5,51,1,532,66,Good,98.93,103,2.21,FALSE,FALSE,Server Room,Replace network cable
2, الاول / عيسى مخرج دسمان قادم من عيسى," 29°22'31.21""N"," 47°59'49.23""E",PTZ,Hanwha,2,7/27/2022,2/16/2024,22,Online,27.6,57,0,328,72,Good,98.58,123,1.71,TRUE,FALSE,Warehouse,Focus adjustment needed
3, الاول / عيسى مدخل المدينه باتجاه الخليجيه," 29°22'29.65""N"," 47°59'43.97""E",Fisheye,Honeywell,8,12/27/2020,7/14/2022,18,Online,25.9,46,0,540,91,Good,98.52,126,9.33,TRUE,TRUE,Office,Focus adjustment needed
5,الاول / القاهره مدخل المدينه  بإتجاه - السور," 29°21'56.49""N","47°59'29.99""E",Dome,Bosch,5,6/6/2018,8/1/2022,23,Online,31.5,81,2,719,71,Warning,99.21,121,5.29,TRUE,FALSE,Warehouse,Mount stabilization required
7,الاول / القاهره الخارج من المدينه - الشيراتون," 29°21'48.53""N","47°59'23.77""E",Thermal,Axis,5,6/1/2024,5/26/2025,23,Online,28.3,48,1,683,75,Good,98.02,103,2.84,TRUE,FALSE,Gate,Heat exposure — add shade
9,الاول / المغرب القادم دسمان - شارع السور," 29°21'42.95""N","47°59'13.81""E",Thermal,Hanwha,8,9/22/2021,12/25/2021,21,Online,46.6,57,1,310,81,Good,99.35,131,3.88,TRUE,FALSE,Server Room,Check IR LEDs
10,الاول / المغرب الخارج من المدينه - الشيراتون," 29°21'37.50""N"," 47°59'5.44""E",Analog,Uniview,2,10/27/2021,7/16/2020,21,Offline,33.2,75,2,418,72,Warning,95.47,99,1.01,FALSE,FALSE,Perimeter,Focus adjustment needed
11,الاول / الرياض القادم من الرياض - المدينه," 29°21'36.14""N","47°58'29.33""E",Dome,Dahua,8,1/8/2018,3/18/2024,22,Online,35.6,40,0,198,61,Good,98.37,138,5.5,TRUE,FALSE,Warehouse,Heat exposure — add shade
